"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"GOED","1847 Goedeker Inc.","7.35","$44.92M","2020","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/goed"
"XXII","22nd Century Group, Inc","0.6164","$85.59M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii"
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.19","$1.04B","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax"
"IAF","Aberdeen Australia Equity Fund Inc","4.86","$110.53M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf"
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","6.78","$344.1M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef"
"FCO","Aberdeen Global Income Fund, Inc.","7.01","$61.16M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco"
"ACU","Acme United Corporation.","23.24","$77.54M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu"
"ATNM","Actinium Pharmaceuticals, Inc.","8","$108.68M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm"
"AE","Adams Resources & Energy, Inc.","21.65","$91.85M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae"
"ACY","AeroCentury Corp.","2.35","$3.63M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy"
"UAVS","AgEagle Aerial Systems, Inc.","3.04","$173.99M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs"
"AGE","AgeX Therapeutics, Inc.","0.8498","$32.03M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age"
"AIRI","Air Industries Group","1.14","$34.91M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi"
"AXU","Alexco Resource Corp","2.95","$403.59M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/axu"
"AAU","Almaden Minerals, Ltd.","0.6886","$82.88M","2015","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aau"
"APT","Alpha Pro Tech, Ltd.","13.43","$182.48M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/apt"
"AAMC","Altisource Asset Management Corp","21.9564","$35.84M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/aamc"
"AMBO","Ambow Education Holding Ltd.","2.18","$47.5M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/ambo"
"DIT","AMCON Distributing Company","71.26","$40.25M","n/a","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/dit"
"AMS","American Shared Hospital Services","2.09","$11.89M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ams"
"USAS","Americas Gold and Silver Corporation","2.88","$305.31M","2017","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/usas"
"AMPE","Ampio Pharmaceuticals, Inc.","0.7028","$124.07M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ampe"
"ANVS","Annovis Bio, Inc.","4.9","$33.65M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/anvs"
"ARMP","Armata Pharmaceuticals, Inc.","3.04","$56.75M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/armp"
"AINC","Ashford Inc.","6.83","$17.15M","2014","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/ainc"
"AUG","Auryn Resources Inc.","2.15","$231.37M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aug"
"AWX","Avalon Holdings Corporation","1.57","$6.08M","n/a","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/awx"
"ASM","Avino Silver","1.15","$100.3M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/asm"
"BTG","B2Gold Corp","6.55","$6.85B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/btg"
"BTN","Ballantyne Strong, Inc","1.62","$23.96M","n/a","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/btn"
"BCV","Bancroft Fund Limited","26.86","$143.78M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bcv"
"BCV^A","Bancroft Fund Limited","25.9143","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bcv^a"
"BHB","Bar Harbor Bankshares, Inc.","20.61","$310.88M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bhb"
"BRN","Barnwell Industries, Inc.","0.815","$6.75M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/brn"
"BATL","Battalion Oil Corporation","8.52","$138.06M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/batl"
"BIOX","Bioceres Crop Solutions Corp.","5.66","$218.99M","2018","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/biox"
"PHGE","BiomX Inc.","5.91","$136.79M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/phge"
"PHGE.U","BiomX Inc.","n/a","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/phge.u"
"PHGE.WS","BiomX Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/phge.ws"
"BGI","Birks Group Inc.","0.7138","$12.83M","n/a","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/bgi"
"BKTI","BK Technologies Corporation","2.9367","$36.69M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/bkti"
"BDR","Blonder Tongue Laboratories, Inc.","0.87","$8.5M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/bdr"
"BRBS","Blue Ridge Bankshares, Inc.","13.83","$79.09M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/brbs"
"BRG","Bluerock Residential Growth REIT, Inc.","7.59","$187.44M","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/brg"
"BRG^A","Bluerock Residential Growth REIT, Inc.","25.05","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^a"
"BRG^C","Bluerock Residential Growth REIT, Inc.","25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^c"
"BRG^D","Bluerock Residential Growth REIT, Inc.","23.72","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brg^d"
"DMF","BNY Mellon Municipal Income Inc.","8.5327","$177.04M","1988","n/a","n/a","https://old.nasdaq.com/symbol/dmf"
"BWL.A","Bowl America, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bwl.a"
"BRMK.WS","Broadmark Realty Capital Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/brmk.ws"
"CMCL","Caledonia Mining Corporation Plc","17.6","$208.05M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/cmcl"
"CEI","Camber Energy, Inc.","0.5049","$9.94M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cei"
"CANF","Can-Fite Biopharma Ltd","1.92","$29.59M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/canf"
"YCBD","cbdMD, Inc.","2.52","$131.31M","2017","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ycbd"
"YCBD^A","cbdMD, Inc.","8.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ycbd^a"
"CVM","Cel-Sci Corporation","13.88","$536.1M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/cvm"
"CET","Central Securities Corporation","29.95","$772.32M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cet"
"LEU","Centrus Energy Corp.","10.84","$128.48M","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/leu"
"CHAQ","Chardan Healthcare Acquisition 2 Corp.","9.8","$105.63M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/chaq"
"CHAQ.U","Chardan Healthcare Acquisition 2 Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/chaq.u"
"CHAQ.WS","Chardan Healthcare Acquisition 2 Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/chaq.ws"
"CCF","Chase Corporation","101.88","$962.02M","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ccf"
"CQP","Cheniere Energy Partners, LP","35.63","$17.25B","2007","Public Utilities","Oil/Gas Transmission","https://old.nasdaq.com/symbol/cqp"
"LNG","Cheniere Energy, Inc.","54.28","$13.69B","n/a","Public Utilities","Oil/Gas Transmission","https://old.nasdaq.com/symbol/lng"
"CVR","Chicago Rivet & Machine Co.","20.03","$19.35M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cvr"
"CPHI","China Pharma Holdings, Inc.","0.329","$14.34M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cphi"
"CKX","CKX Lands, Inc.","10.09","$19.6M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ckx"
"GLV","Clough Global Dividend and Income Fund","9.86","$82.9M","2004","n/a","n/a","https://old.nasdaq.com/symbol/glv"
"GLQ","Clough Global Equity Fund","12.12","$160.36M","2005","n/a","n/a","https://old.nasdaq.com/symbol/glq"
"GLO","Clough Global Opportunities Fund","9.74","$313.87M","2006","n/a","n/a","https://old.nasdaq.com/symbol/glo"
"COHN","Cohen & Company Inc.","18.96","$23.64M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cohn"
"CIX","CompX International Inc.","13.6","$169.34M","1998","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cix"
"LODE","Comstock Mining, Inc.","1.1","$35.57M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/lode"
"CDOR","Condor Hospitality Trust, Inc.","4.6","$55.25M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cdor"
"MCF","Contango Oil & Gas Company","1.57","$208.87M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/mcf"
"CMT","Core Molding Technologies Inc","7.58","$64.44M","n/a","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/cmt"
"CRMD","CorMedix Inc.","4.28","$133.7M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/crmd"
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","11.3","$454.67M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/crf"
"CLM","Cornerstone Strategic Value Fund, Inc.","11.46","$872.35M","1987","n/a","n/a","https://old.nasdaq.com/symbol/clm"
"CVU","CPI Aerostructures, Inc.","2.5","$29.69M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/cvu"
"CIK","Credit Suisse Asset Management Income Fund, Inc.","2.87","$150.12M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cik"
"DHY","Credit Suisse High Yield Bond Fund","2.12","$219.44M","1998","n/a","n/a","https://old.nasdaq.com/symbol/dhy"
"CRHM","CRH Medical Corporation","2.44","$174.47M","2015","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/crhm"
"CTO","CTO Realty Growth, Inc.","42.75","$201.57M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/cto"
"CTEK","CynergisTek, Inc.","1.35","$14.31M","2017","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ctek"
"DXR","Daxor Corporation","15.66","$62.85M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/dxr"
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","13.85","$66.99M","1993","n/a","n/a","https://old.nasdaq.com/symbol/vcf"
"VFL","Delaware Investments Florida Insured Municipal Income Fund","12.63","$57.19M","1993","n/a","n/a","https://old.nasdaq.com/symbol/vfl"
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","13.1502","$151.29M","1993","n/a","n/a","https://old.nasdaq.com/symbol/vmm"
"DLA","Delta Apparel, Inc.","15.17","$104.52M","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/dla"
"DNN","Denison Mine Corp","0.554","$346.84M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/dnn"
"DSS","Document Security Systems, Inc.","6.6","$33.76M","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/dss"
"DPW","DPW Holdings, Inc.","1.7","$19.5M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/dpw"
"DXF","Dunxin Financial Holdings Limited","0.7052","$14.71M","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/dxf"
"GRF","Eagle Capital Growth Fund, Inc.","7.26","$29.58M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/grf"
"EVM","Eaton Vance California Municipal Bond Fund","11.63","$290.68M","2002","n/a","n/a","https://old.nasdaq.com/symbol/evm"
"CEV","Eaton Vance California Municipal Income Trust","13.44","$95.88M","1999","n/a","n/a","https://old.nasdaq.com/symbol/cev"
"EVV","Eaton Vance Limited Duration Income Fund","11.95","$1.39B","2003","n/a","n/a","https://old.nasdaq.com/symbol/evv"
"EIM","Eaton Vance Municipal Bond Fund","13.09","$941.87M","2002","n/a","n/a","https://old.nasdaq.com/symbol/eim"
"ENX","Eaton Vance New York Municipal Bond Fund","11.9","$215.61M","2002","n/a","n/a","https://old.nasdaq.com/symbol/enx"
"EVY","Eaton Vance New York Municipal Income Trust","13.04","$70.44M","1999","n/a","n/a","https://old.nasdaq.com/symbol/evy"
"ELMD","Electromed, Inc.","12.25","$105.21M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/elmd"
"ELLO","Ellomay Capital Ltd.","28.8","$351.19M","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/ello"
"ECF","Ellsworth Growth and Income Fund Ltd.","12.43","$164.14M","1986","n/a","n/a","https://old.nasdaq.com/symbol/ecf"
"ECF^A","Ellsworth Growth and Income Fund Ltd.","26.1999","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ecf^a"
"EMAN","eMagin Corporation","1.38","$92.99M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/eman"
"MSN","Emerson Radio Corporation","0.7156","$15.06M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/msn"
"EMX","EMX Royalty Corporation","3.06","$258.05M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/emx"
"UUUU","Energy Fuels Inc","1.92","$241.08M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/uuuu"
"UUUU.WS","Energy Fuels Inc","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/uuuu.ws"
"ENSV","ENSERVCO Corporation","0.1336","$7.35M","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ensv"
"ELA","Envela Corporation","3.36","$90.47M","n/a","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/ela"
"EQX","Equinox Gold Corp.","12.98","$3.13B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/eqx"
"ESP","Espey Mfg. & Electronics Corp.","16.8873","$40.57M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/esp"
"EVBN","Evans Bancorp, Inc.","22.96","$123.45M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/evbn"
"EVI","EVI Industries, Inc.","24.97","$297.5M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/evi"
"EPM","Evolution Petroleum Corporation, Inc.","2.86","$94.26M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/epm"
"FEN","First Trust Energy Income and Growth Fund","9.8","$196.2M","2004","n/a","n/a","https://old.nasdaq.com/symbol/fen"
"BDL","Flanigan&#39;s Enterprises, Inc.","16.9187","$31.45M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/bdl"
"FSI","Flexible Solutions International Inc.","2.85","$34.89M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/fsi"
"FTF","Franklin Limited Duration Income Trust","8.97","$270.35M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ftf"
"FSP","Franklin Street Properties Corp.","4.53","$486.2M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/fsp"
"FRD","Friedman Industries Inc.","6.46","$45.74M","n/a","Capital Goods","Steel/Iron Ore","https://old.nasdaq.com/symbol/frd"
"FTSI","FTS International, Inc.","4.89","$26.31M","2018","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ftsi"
"GAU","Galiano Gold Inc.","1.48","$330.33M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/gau"
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","3.67","$606.71M","2005","n/a","n/a","https://old.nasdaq.com/symbol/ggn"
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","25.55","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ggn^b"
"JOB","GEE Group Inc.","1.23","$21.73M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/job"
"GMO","General Moly, Inc","0.1167","$17.85M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gmo"
"GSAT","Globalstar, Inc.","0.3284","$548.54M","2006","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/gsat"
"GORO","Gold Resource Corporation","3.91","$274M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/goro"
"GSV","Gold Standard Ventures Corporation","0.8472","$254.19M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/gsv"
"AUMN","Golden Minerals Company","0.4466","$66.42M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aumn"
"GSS","Golden Star Resources, Ltd","4.5","$494.84M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gss"
"GV","Goldfield Corporation (The)","4.32","$105.94M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/gv"
"GDP","Goodrich Petroleum Corporation","8.51","$107.7M","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gdp"
"GTE","Gran Tierra Energy Inc.","0.2698","$99.01M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gte"
"GPL","Great Panther Mining Limited","0.9599","$338.93M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/gpl"
"SIM","Grupo Simec, S.A. de C.V.","6.0301","$931.47M","1993","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/sim"
"AIM","Hemispherx BioPharma, Inc.","2.03","$80.57M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aim"
"HLM^","Hillman Group Capital Trust","29.47","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hlm^"
"HMG","HMG/Courtland Properties, Inc.","10.51","$10.59M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/hmg"
"HUSA","Houston American Energy Corporation","1.21","$8.42M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/husa"
